,Bleaching,Threshold,num_bits_addr,accuracy
231,True,45,9,0.82
232,True,50,9,0.81
233,True,55,9,0.81
234,True,60,9,0.81
235,True,65,9,0.78
236,True,70,9,0.79
237,True,75,9,0.77
238,True,80,9,0.77
239,True,85,9,0.76
240,True,90,9,0.76
241,True,95,9,0.75
242,True,100,9,0.77
243,True,105,9,0.81
244,True,110,9,0.8
245,True,115,9,0.77
246,True,120,9,0.77
247,True,125,9,0.76
248,True,130,9,0.77
249,True,135,9,0.73
250,True,140,9,0.75
251,True,145,9,0.74
252,True,10,10,0.82
253,True,15,10,0.83
254,True,20,10,0.84
255,True,25,10,0.82
256,True,30,10,0.82
257,True,35,10,0.86
258,True,40,10,0.85
259,True,45,10,0.85
260,True,50,10,0.84
261,True,55,10,0.84
262,True,60,10,0.84
263,True,65,10,0.83
264,True,70,10,0.84
265,True,75,10,0.84
266,True,80,10,0.82
267,True,85,10,0.82
268,True,90,10,0.8
269,True,95,10,0.78
270,True,100,10,0.78
271,True,105,10,0.79
272,True,110,10,0.79
273,True,115,10,0.79
274,True,120,10,0.79
275,True,125,10,0.8
276,True,130,10,0.8
277,True,135,10,0.79
278,True,140,10,0.78
279,True,145,10,0.78
280,True,10,11,0.86
281,True,15,11,0.85
282,True,20,11,0.86
283,True,25,11,0.87
284,True,30,11,0.86
285,True,35,11,0.86
286,True,40,11,0.86
287,True,45,11,0.84
288,True,50,11,0.85
289,True,55,11,0.84
290,True,60,11,0.82
291,True,65,11,0.82
292,True,70,11,0.81
293,True,75,11,0.8
294,True,80,11,0.78
295,True,85,11,0.82
296,True,90,11,0.8
297,True,95,11,0.8
298,True,100,11,0.79
299,True,105,11,0.82
300,True,110,11,0.81
301,True,115,11,0.79
302,True,120,11,0.81
303,True,125,11,0.82
304,True,130,11,0.8
305,True,135,11,0.81
306,True,140,11,0.78
307,True,145,11,0.8
308,True,10,12,0.84
309,True,15,12,0.85
310,True,20,12,0.87
311,True,25,12,0.88
312,True,30,12,0.87
313,True,35,12,0.86
314,True,40,12,0.85
315,True,45,12,0.85
316,True,50,12,0.83
317,True,55,12,0.83
318,True,60,12,0.81
319,True,65,12,0.84
320,True,70,12,0.83
321,True,75,12,0.82
322,True,80,12,0.82
323,True,85,12,0.82
324,True,90,12,0.8
325,True,95,12,0.81
326,True,100,12,0.8
327,True,105,12,0.82
328,True,110,12,0.8
329,True,115,12,0.82
330,True,120,12,0.82
331,True,125,12,0.82
332,True,130,12,0.8
333,True,135,12,0.8
334,True,140,12,0.8
335,True,145,12,0.79
336,True,10,13,0.82
337,True,15,13,0.82
338,True,20,13,0.85
339,True,25,13,0.85
340,True,30,13,0.83
341,True,35,13,0.83
342,True,40,13,0.85
343,True,45,13,0.86
344,True,50,13,0.85
345,True,55,13,0.86
346,True,60,13,0.88
347,True,65,13,0.87
