,Bleaching,Threshold,num_bits_addr,accuracy
342,False,40,13,0.59
343,False,45,13,0.6
344,False,50,13,0.58
345,False,55,13,0.59
346,False,60,13,0.6
347,False,65,13,0.61
348,False,70,13,0.61
349,False,75,13,0.61
350,False,80,13,0.61
351,False,85,13,0.61
352,False,90,13,0.59
353,False,95,13,0.59
354,False,100,13,0.59
355,False,105,13,0.57
356,False,110,13,0.56
357,False,115,13,0.54
358,False,120,13,0.55
359,False,125,13,0.54
360,False,130,13,0.51
361,False,135,13,0.52
362,False,140,13,0.51
363,False,145,13,0.5
364,False,10,14,0.61
365,False,15,14,0.62
366,False,20,14,0.64
367,False,25,14,0.68
368,False,30,14,0.67
369,False,35,14,0.67
370,False,40,14,0.66
371,False,45,14,0.67
372,False,50,14,0.64
373,False,55,14,0.63
374,False,60,14,0.63
375,False,65,14,0.62
376,False,70,14,0.62
377,False,75,14,0.61
378,False,80,14,0.6
379,False,85,14,0.59
380,False,90,14,0.58
381,False,95,14,0.56
382,False,100,14,0.57
383,False,105,14,0.57
384,False,110,14,0.56
385,False,115,14,0.58
386,False,120,14,0.56
387,False,125,14,0.55
388,False,130,14,0.55
389,False,135,14,0.53
390,False,140,14,0.53
391,False,145,14,0.52
392,False,10,15,0.6
393,False,15,15,0.62
394,False,20,15,0.65
395,False,25,15,0.64
396,False,30,15,0.63
397,False,35,15,0.6
398,False,40,15,0.6
399,False,45,15,0.59
400,False,50,15,0.61
401,False,55,15,0.6
402,False,60,15,0.56
403,False,65,15,0.57
404,False,70,15,0.56
405,False,75,15,0.57
406,False,80,15,0.56
407,False,85,15,0.55
408,False,90,15,0.55
409,False,95,15,0.55
410,False,100,15,0.53
411,False,105,15,0.51
412,False,110,15,0.52
413,False,115,15,0.51
414,False,120,15,0.5
415,False,125,15,0.51
416,False,130,15,0.48
417,False,135,15,0.47
418,False,140,15,0.47
419,False,145,15,0.46
420,False,10,16,0.62
421,False,15,16,0.69
422,False,20,16,0.71
423,False,25,16,0.69
424,False,30,16,0.7
425,False,35,16,0.68
426,False,40,16,0.67
427,False,45,16,0.68
428,False,50,16,0.69
429,False,55,16,0.67
430,False,60,16,0.65
431,False,65,16,0.64
432,False,70,16,0.62
433,False,75,16,0.62
434,False,80,16,0.62
435,False,85,16,0.62
436,False,90,16,0.62
437,False,95,16,0.62
438,False,100,16,0.61
439,False,105,16,0.6
440,False,110,16,0.59
441,False,115,16,0.62
442,False,120,16,0.62
443,False,125,16,0.62
444,False,130,16,0.59
445,False,135,16,0.56
446,False,140,16,0.55
447,False,145,16,0.51
448,False,10,17,0.58
449,False,15,17,0.6
450,False,20,17,0.64
451,False,25,17,0.66
452,False,30,17,0.64
453,False,35,17,0.62
454,False,40,17,0.62
455,False,45,17,0.62
456,False,50,17,0.6
457,False,55,17,0.61
458,False,60,17,0.62
459,False,65,17,0.64
460,False,70,17,0.61
461,False,75,17,0.6
462,False,80,17,0.58
463,False,85,17,0.56
464,False,90,17,0.56
465,False,95,17,0.53
466,False,100,17,0.54
467,False,105,17,0.54
468,False,110,17,0.51
469,False,115,17,0.53
470,False,120,17,0.52
471,False,125,17,0.53
472,False,130,17,0.52
473,False,135,17,0.5
474,False,140,17,0.49
475,False,145,17,0.5
476,False,10,18,0.62
477,False,15,18,0.64
478,False,20,18,0.66
479,False,25,18,0.68
480,False,30,18,0.67
481,False,35,18,0.65
482,False,40,18,0.62
483,False,45,18,0.64
484,False,50,18,0.6
485,False,55,18,0.61
486,False,60,18,0.6
487,False,65,18,0.62
488,False,70,18,0.63
489,False,75,18,0.61
490,False,80,18,0.59
491,False,85,18,0.59
492,False,90,18,0.57
493,False,95,18,0.56
494,False,100,18,0.56
495,False,105,18,0.55
496,False,110,18,0.55
497,False,115,18,0.54
498,False,120,18,0.53
499,False,125,18,0.52
